customer_id,customer_name,country,channel_type,size,annual_volume_usd
CUST_0001,Amazon,UK,Retail Store,Enterprise,174191133.08
CUST_0002,Walmart,South Korea,Online Retail,Enterprise,169930569.64
CUST_0003,Best Buy,South Korea,Distributor,Enterprise,77960748.02
CUST_0004,Reliance Digital,UAE,Direct-to-Consumer,Enterprise,145063784.56
CUST_0005,Flipkart,India,Online Retail,Enterprise,97429487.34
CUST_0006,Samsung Store,Vietnam,Distributor,Enterprise,152447309.51
CUST_0007,Target,Vietnam,Distributor,Enterprise,157067368.23
CUST_0008,Carrefour,USA,Distributor,Enterprise,143615231.63
CUST_0009,MediaMarkt,USA,Online Retail,Enterprise,115811701.31
CUST_0010,JD.com,Japan,Distributor,Enterprise,103304367.77
CUST_0011,Distributor_11,Vietnam,Direct-to-Consumer,Small,1109928.08
CUST_0012,Distributor_12,UAE,Retail Store,Medium,1108556.16
CUST_0013,Distributor_13,Vietnam,Retail Store,Medium,1274030.7
CUST_0014,Distributor_14,Japan,Online Retail,Small,375124.98
CUST_0015,Distributor_15,Japan,Distributor,Medium,1090249.13
CUST_0016,Distributor_16,USA,Online Retail,Small,1995500.6
CUST_0017,Distributor_17,Japan,Online Retail,Medium,534553.82
CUST_0018,Distributor_18,India,Retail Store,Small,448861.96
CUST_0019,Distributor_19,USA,Retail Store,Medium,1759692.99
CUST_0020,Distributor_20,Japan,Direct-to-Consumer,Small,1096138.64
CUST_0021,Distributor_21,Vietnam,Distributor,Medium,298602.89
CUST_0022,Distributor_22,UK,Distributor,Medium,1102728.24
CUST_0023,Distributor_23,India,Distributor,Small,1458392.51
CUST_0024,Distributor_24,Germany,Direct-to-Consumer,Medium,1216963.27
CUST_0025,Distributor_25,UK,Direct-to-Consumer,Small,541008.16
CUST_0026,Distributor_26,Vietnam,Retail Store,Medium,1920195.85
CUST_0027,Distributor_27,Japan,Retail Store,Small,831660.26
CUST_0028,Distributor_28,India,Online Retail,Small,1249153.01
CUST_0029,Distributor_29,USA,Online Retail,Small,1036482.92
CUST_0030,Distributor_30,South Korea,Direct-to-Consumer,Medium,1465886.39
CUST_0031,Distributor_31,Germany,Online Retail,Small,1152009.71
CUST_0032,Distributor_32,Japan,Retail Store,Small,94894.08
CUST_0033,Distributor_33,India,Online Retail,Medium,1173762.3
CUST_0034,Distributor_34,UAE,Direct-to-Consumer,Small,200776.08
CUST_0035,Distributor_35,Japan,Online Retail,Medium,1854858.6
CUST_0036,Distributor_36,India,Retail Store,Small,510016.77
CUST_0037,Distributor_37,USA,Online Retail,Small,293092.23
CUST_0038,Distributor_38,South Korea,Direct-to-Consumer,Medium,657316.31
CUST_0039,Distributor_39,USA,Online Retail,Medium,828055.27
CUST_0040,Distributor_40,USA,Online Retail,Medium,450880.63
CUST_0041,Distributor_41,Japan,Direct-to-Consumer,Small,700323.38
CUST_0042,Distributor_42,UAE,Retail Store,Medium,1733860.37
CUST_0043,Distributor_43,India,Distributor,Medium,726558.74
CUST_0044,Distributor_44,South Korea,Direct-to-Consumer,Medium,1194783.04
CUST_0045,Distributor_45,Vietnam,Online Retail,Medium,324671.19
CUST_0046,Distributor_46,UK,Direct-to-Consumer,Medium,372750.97
CUST_0047,Distributor_47,Japan,Distributor,Medium,756668.1
CUST_0048,Distributor_48,India,Online Retail,Small,479189.57
CUST_0049,Distributor_49,Germany,Online Retail,Medium,397170.14
CUST_0050,Distributor_50,UAE,Direct-to-Consumer,Medium,1136745.47
CUST_0051,Distributor_51,USA,Distributor,Medium,1993904.79
CUST_0052,Distributor_52,UAE,Distributor,Medium,654377.01
CUST_0053,Distributor_53,South Korea,Retail Store,Medium,459315.91
