inventory_id,product_id,facility_id,stock_level,safety_stock_level,reorder_point
INV_000001,PROD_040,FAC_20,34,12,20
INV_000002,PROD_129,FAC_20,35,22,29
INV_000003,PROD_061,FAC_22,53,24,32
INV_000004,PROD_144,FAC_20,54,17,22
INV_000005,PROD_131,FAC_07,54,22,36
INV_000006,PROD_014,FAC_21,59,23,33
INV_000007,PROD_146,FAC_08,31,24,35
INV_000008,PROD_127,FAC_19,57,12,19
INV_000009,PROD_054,FAC_13,33,13,25
INV_000010,PROD_125,FAC_19,47,12,26
INV_000011,PROD_002,FAC_17,58,11,22
INV_000012,PROD_086,FAC_21,41,11,21
INV_000013,PROD_049,FAC_15,41,24,35
INV_000014,PROD_009,FAC_21,41,13,24
INV_000015,PROD_118,FAC_01,56,11,24
INV_000016,PROD_041,FAC_13,31,21,26
INV_000017,PROD_124,FAC_13,45,15,27
INV_000018,PROD_097,FAC_14,44,15,28
INV_000019,PROD_078,FAC_18,54,15,22
INV_000020,PROD_038,FAC_24,58,18,26
INV_000021,PROD_025,FAC_02,38,14,19
INV_000022,PROD_044,FAC_14,46,13,20
INV_000023,PROD_136,FAC_01,36,11,21
INV_000024,PROD_018,FAC_17,46,24,35
INV_000025,PROD_097,FAC_15,45,12,21
INV_000026,PROD_117,FAC_08,31,20,29
INV_000027,PROD_102,FAC_16,49,24,32
INV_000028,PROD_019,FAC_18,34,18,26
INV_000029,PROD_149,FAC_02,38,21,30
INV_000030,PROD_068,FAC_21,31,13,19
INV_000031,PROD_112,FAC_25,34,11,18
INV_000032,PROD_103,FAC_11,30,20,28
INV_000033,PROD_069,FAC_09,46,14,20
INV_000034,PROD_079,FAC_13,42,15,22
INV_000035,PROD_024,FAC_02,34,20,31
INV_000036,PROD_108,FAC_15,41,24,35
INV_000037,PROD_095,FAC_11,37,21,28
INV_000038,PROD_109,FAC_21,36,19,28
INV_000039,PROD_042,FAC_06,34,16,28
INV_000040,PROD_065,FAC_23,55,21,31
INV_000041,PROD_033,FAC_21,44,23,28
INV_000042,PROD_022,FAC_05,49,10,22
INV_000043,PROD_024,FAC_22,47,24,34
INV_000044,PROD_015,FAC_16,44,22,29
INV_000045,PROD_143,FAC_03,38,10,17
INV_000046,PROD_021,FAC_19,45,10,17
INV_000047,PROD_066,FAC_15,37,17,23
INV_000048,PROD_044,FAC_20,31,24,30
INV_000049,PROD_043,FAC_15,55,24,30
INV_000050,PROD_075,FAC_16,31,20,28
INV_000051,PROD_067,FAC_24,35,22,27
INV_000052,PROD_054,FAC_04,30,10,21
INV_000053,PROD_014,FAC_08,41,19,27
INV_000054,PROD_103,FAC_13,48,22,27
INV_000055,PROD_013,FAC_24,56,24,30
INV_000056,PROD_026,FAC_07,30,18,29
INV_000057,PROD_126,FAC_03,52,16,21
INV_000058,PROD_073,FAC_14,45,16,24
INV_000059,PROD_131,FAC_15,54,19,25
INV_000060,PROD_029,FAC_15,31,18,32
INV_000061,PROD_147,FAC_17,36,19,27
INV_000062,PROD_146,FAC_06,56,24,35
INV_000063,PROD_070,FAC_19,34,21,29
INV_000064,PROD_073,FAC_05,53,18,30
INV_000065,PROD_060,FAC_13,40,20,29
INV_000066,PROD_071,FAC_06,36,24,29
INV_000067,PROD_038,FAC_05,58,15,28
INV_000068,PROD_046,FAC_22,41,17,23
INV_000069,PROD_075,FAC_19,51,17,29
INV_000070,PROD_094,FAC_24,56,22,32
INV_000071,PROD_135,FAC_08,33,15,25
INV_000072,PROD_020,FAC_06,55,17,24
INV_000073,PROD_045,FAC_13,54,24,32
INV_000074,PROD_141,FAC_21,30,11,23
INV_000075,PROD_021,FAC_02,30,22,27
INV_000076,PROD_072,FAC_14,32,10,21
INV_000077,PROD_017,FAC_04,52,23,34
INV_000078,PROD_067,FAC_01,42,19,28
INV_000079,PROD_073,FAC_24,45,23,28
INV_000080,PROD_052,FAC_01,44,21,33
INV_000081,PROD_149,FAC_02,52,23,29
INV_000082,PROD_061,FAC_21,51,23,37
INV_000083,PROD_024,FAC_18,41,15,27
INV_000084,PROD_040,FAC_02,55,16,24
INV_000085,PROD_110,FAC_24,40,22,28
INV_000086,PROD_058,FAC_12,36,17,29
INV_000087,PROD_148,FAC_20,32,23,34
INV_000088,PROD_135,FAC_23,42,12,22
INV_000089,PROD_007,FAC_09,43,16,23
INV_000090,PROD_146,FAC_25,35,24,30
INV_000091,PROD_010,FAC_02,50,24,31
INV_000092,PROD_025,FAC_14,50,21,35
INV_000093,PROD_042,FAC_01,31,16,22
INV_000094,PROD_082,FAC_13,34,13,18
INV_000095,PROD_066,FAC_08,59,10,24
INV_000096,PROD_147,FAC_12,35,12,26
INV_000097,PROD_100,FAC_25,44,11,18
INV_000098,PROD_035,FAC_19,47,19,26
INV_000099,PROD_103,FAC_15,55,20,30
INV_000100,PROD_031,FAC_21,39,18,28
INV_000101,PROD_107,FAC_04,45,16,29
INV_000102,PROD_018,FAC_24,45,10,20
INV_000103,PROD_146,FAC_08,50,22,35
INV_000104,PROD_042,FAC_13,59,13,25
INV_000105,PROD_116,FAC_12,59,12,24
INV_000106,PROD_031,FAC_07,56,16,24
INV_000107,PROD_064,FAC_21,54,24,31
INV_000108,PROD_004,FAC_13,54,24,38
INV_000109,PROD_094,FAC_22,53,21,31
INV_000110,PROD_014,FAC_10,40,12,18
INV_000111,PROD_037,FAC_16,30,20,31
INV_000112,PROD_037,FAC_05,34,16,27
INV_000113,PROD_050,FAC_10,49,10,22
INV_000114,PROD_118,FAC_11,50,21,31
INV_000115,PROD_094,FAC_17,45,12,22
INV_000116,PROD_045,FAC_02,59,23,28
INV_000117,PROD_118,FAC_04,30,16,30
INV_000118,PROD_093,FAC_01,38,18,25
INV_000119,PROD_095,FAC_22,34,11,20
