production_id,product_id,facility_id,quantity_produced,defect_rate_pct,defective_units,batch_number
PRD_000001,PROD_077,FAC_23,374,0.0120305338915862,4,BATCH_117072
PRD_000002,PROD_018,FAC_05,436,0.031633969080187396,14,BATCH_197414
PRD_000003,PROD_103,FAC_23,332,0.005336640395516639,2,BATCH_490551
PRD_000004,PROD_070,FAC_25,347,0.005206782282088289,2,BATCH_513572
PRD_000005,PROD_119,FAC_25,333,0.03486363093236774,12,BATCH_715166
PRD_000006,PROD_139,FAC_03,450,0.005632577661325617,3,BATCH_915699
PRD_000007,PROD_148,FAC_24,335,0.009654264488958827,3,BATCH_332580
PRD_000008,PROD_097,FAC_06,408,0.0314876777383936,13,BATCH_406864
PRD_000009,PROD_136,FAC_13,430,0.02347167470117628,10,BATCH_961381
PRD_000010,PROD_035,FAC_20,440,0.023749826413217427,10,BATCH_873690
PRD_000011,PROD_069,FAC_15,450,0.01927179253319384,9,BATCH_599801
PRD_000012,PROD_126,FAC_04,417,0.009518100861290055,4,BATCH_972308
PRD_000013,PROD_099,FAC_20,450,0.016013673701875286,7,BATCH_231692
PRD_000014,PROD_078,FAC_07,476,0.026537496028313397,13,BATCH_857268
PRD_000015,PROD_149,FAC_22,338,0.019560898195753584,7,BATCH_223220
PRD_000016,PROD_111,FAC_18,467,0.026894190219663768,13,BATCH_281768
PRD_000017,PROD_017,FAC_21,340,0.00521756823863312,2,BATCH_534606
PRD_000018,PROD_146,FAC_21,467,0.02467296974014461,12,BATCH_375819
PRD_000019,PROD_140,FAC_22,411,0.022788460044022945,9,BATCH_715848
PRD_000020,PROD_144,FAC_07,366,0.034231687533962336,13,BATCH_818537
PRD_000021,PROD_004,FAC_12,410,0.03221050573931167,13,BATCH_810063
PRD_000022,PROD_092,FAC_11,363,0.023009771024314996,8,BATCH_437752
PRD_000023,PROD_075,FAC_24,433,0.0222860148850808,10,BATCH_774900
PRD_000024,PROD_103,FAC_12,408,0.007777111750612877,3,BATCH_883073
PRD_000025,PROD_024,FAC_15,321,0.03323197838185588,11,BATCH_788833
